Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
TCS,EQ,01-Apr-2015,2553.95,2558,2563.6,2522.25,2544.05,2542.65,2538.81,1037879,2634981317.45,54078
TCS,EQ,06-Apr-2015,2542.65,2558,2562.9,2500.1,2548.3,2547.3,2531.53,784271,1985404796.8,45408
TCS,EQ,07-Apr-2015,2547.3,2562.45,2599,2544,2588.95,2585,2571.5,943461,2426111369.05,77106
TCS,EQ,08-Apr-2015,2585,2594,2656.5,2590.85,2646,2641.4,2632,826067,2174208279.4,61358
TCS,EQ,09-Apr-2015,2641.4,2659,2687.45,2635.15,2662.6,2664.55,2658.35,1272225,3382017714.75,62583
TCS,EQ,10-Apr-2015,2664.55,2648.5,2670.8,2628,2651.1,2653.75,2648.39,907772,2404135142.8,63471
TCS,EQ,13-Apr-2015,2653.75,2664,2665,2628,2653.85,2655.5,2650.09,654321,1734011442.1,54293
TCS,EQ,15-Apr-2015,2655.5,2654.7,2713.9,2609.4,2618.95,2627.75,2646.26,1456967,3855513024.7,74856
TCS,EQ,16-Apr-2015,2627.75,2626.95,2627,2571.35,2574,2582.8,2589.79,1608785,4166416079.2,71768
TCS,EQ,17-Apr-2015,2582.8,2557.1,2560,2470,2473.9,2474.85,2495.54,4834371,12064349822.95,167402
TCS,EQ,20-Apr-2015,2474.85,2480.05,2483.9,2424.85,2426,2428.8,2439.46,1445361,3525902673.95,84591
TCS,EQ,21-Apr-2015,2428.8,2428.8,2452,2401,2427.05,2427.05,2430.81,1273016,3094465305.15,83843
TCS,EQ,22-Apr-2015,2427.05,2431.5,2473,2407.55,2470.6,2445.1,2428.26,2093406,5083342117,101821
TCS,EQ,23-Apr-2015,2445.1,2472,2479.8,2431.7,2455,2457.25,2460.81,2171495,5343637553.6,80541
TCS,EQ,24-Apr-2015,2457.25,2455.3,2514,2447.55,2509.6,2493.05,2488.25,1812579,4510146387.85,130453
TCS,EQ,27-Apr-2015,2493.05,2499.5,2520,2486,2500,2500.2,2501.44,1366526,3418280027.9,81966
TCS,EQ,28-Apr-2015,2500.2,2510,2510,2455.1,2493,2495,2477.16,1544149,3825105916.3,128979
TCS,EQ,29-Apr-2015,2495,2484,2495,2451.05,2481,2487.3,2472.31,1009810,2496559484.65,100184
TCS,EQ,30-Apr-2015,2487.3,2480,2490,2427.1,2476,2463.7,2461.06,1869027,4599778448.7,101021
TCS,EQ,04-May-2015,2463.7,2491,2504.8,2457.2,2482.25,2481.55,2476.14,945315,2340736972.15,83359
TCS,EQ,05-May-2015,2481.55,2501,2536.45,2500,2519,2517.85,2518.94,1627535,4099661485.45,69702
TCS,EQ,06-May-2015,2517.85,2515,2515,2455.8,2463,2463.05,2468.46,1697203,4189477161.7,97392
TCS,EQ,07-May-2015,2463.05,2464.9,2553.75,2453.7,2550,2545.25,2522.63,1602514,4042557510.35,63417
TCS,EQ,08-May-2015,2545.25,2560,2588,2516.3,2530,2527.25,2552.07,1501832,3832785394.5,53709
TCS,EQ,11-May-2015,2527.25,2535,2563.05,2525,2559,2556,2550.07,1286541,3280765489.15,73023
TCS,EQ,12-May-2015,2556,2560,2565,2513,2523.95,2522.9,2524.91,1233693,3114957842.5,71964
TCS,EQ,13-May-2015,2522.9,2547,2547,2480.45,2523.1,2515.4,2510.43,931887,2339441725,53692
TCS,EQ,14-May-2015,2515.4,2520,2520,2485,2499,2499.25,2495.09,654525,1633096280.8,40174
TCS,EQ,15-May-2015,2499.25,2515,2532.4,2501,2511,2511.15,2512.17,730727,1835713056.6,32934
TCS,EQ,18-May-2015,2511.15,2514.1,2525.25,2497.1,2515.15,2520.4,2505.41,2253876,5646890602.55,50845
TCS,EQ,19-May-2015,2520.4,2519.4,2530,2496.75,2512,2512.7,2511.97,978861,2458873706.45,37527
TCS,EQ,20-May-2015,2512.7,2520,2569.9,2516.9,2557,2557.05,2550.08,948907,2419790057.75,41995
TCS,EQ,21-May-2015,2557.05,2557,2580,2548.15,2551.9,2555.5,2565.83,789789,2026463607.9,40459
